Comment[SystematicName]	Comment[GENE_SYMBOL]	Comment[GENE_NAME]	Comment[CYTOBAND]
NM_001080506	TMEM150C	transmembrane protein 150C	hs|4q21.22
TCONS_00019359	XLOC_009185		hs|11q13.2
XM_001715696	MS4A18	membrane-spanning 4-domains, subfamily A, member 18	hs|11q12.2
NM_020810	TRMT5	TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae)	hs|14q23.1
NM_006221	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	hs|19p13.2
THC2552880	XLOC_l2_004986		hs|15q24.1
NM_017602	OTUD5	OTU domain containing 5	hs|Xp11.23
NM_178540	C1QTNF9	C1q and tumor necrosis factor related protein 9	hs|13q12.12
NR_026807	LINC00472	long intergenic non-protein coding RNA 472	hs|6q13
NM_015984	UCHL5	ubiquitin carboxyl-terminal hydrolase L5	hs|1q31.2
TCONS_00010286	XLOC_004761		hs|5p14.1
NM_017949	CUEDC1	CUE domain containing 1	hs|17q22
E1A_r60_a107			
DQ668364			
3xSLv1			
NM_001047980	NBPF7	neuroblastoma breakpoint family, member 7	hs|1p12
ERCC-00144_60			
THC2730801	XLOC_006123		hs|7q11.21
NM_001163075	C17orf99	chromosome 17 open reading frame 99	hs|17q25.3
NM_203488	ACYP1	acylphosphatase 1, erythrocyte (common) type	hs|14q24.3
NR_033858	LOC642924	uncharacterized LOC642924	hs|8q22.1
ENST00000382730	NKD2	naked cuticle homolog 2 (Drosophila)	hs|5p15.33
ENST00000431034	XLOC_013479		hs|20p11.22
ENST00000430391	XLOC_013864		hs|21q11.2
NM_053275	RPLP0	ribosomal protein, large, P0	hs|12q24.23
XM_001716361	LOC388210	apolipophorins-like	hs|16p13.13
ENST00000443103	XLOC_l2_013256		hs|7p22.3
NM_017556	FBLIM1	filamin binding LIM protein 1	hs|1p36.21
DQ855000			
NM_001016	RPS12	ribosomal protein S12	hs|6q23.2
NM_002332	LRP1	low density lipoprotein receptor-related protein 1	hs|12q13.3
NM_016023	OTUD6B	OTU domain containing 6B	hs|8q21.3
TCONS_l2_00024564	XLOC_l2_012844		hs|6p25.3
NM_147195	ANKRD18A	ankyrin repeat domain 18A	hs|9p13.1
NR_027073	LOC283731	uncharacterized LOC283731	hs|15q24.1
NM_017662	TRPM6	transient receptor potential cation channel, subfamily M, member 6	hs|9q21.13
TCONS_00026870	XLOC_012922		hs|19p13.3
NM_001167931	IL1RAP	interleukin 1 receptor accessory protein	hs|3q28
NM_015050	FTSJD2	FtsJ methyltransferase domain containing 2	hs|6p21.2
TCONS_00020005	XLOC_009301		hs|11q23.3
AK124043	LOC100128697	uncharacterized LOC100128697	hs|10q26.3
ERCC-00012_90			
DQ875386			
NM_006029	PNMA1	paraneoplastic antigen MA1	hs|14q24.3
NM_003561	PLA2G10	phospholipase A2, group X	hs|16p13.12
ENST00000454388	XLOC_008013		hs|Xq13.2
NM_001002880	CBY1	chibby homolog 1 (Drosophila)	hs|22q13.1
BC157883	LOC643454	adaptor-related protein complex 3, sigma 1 subunit pseudogene	hs|1q41
TCONS_00004186	XLOC_002030		hs|2p23.2
DQ516796			
NM_032645	RAPSN	receptor-associated protein of the synapse	hs|11p11.2
NM_003259	ICAM5	intercellular adhesion molecule 5, telencephalin	hs|19p13.2
TCONS_00005936	XLOC_002563		hs|3p26.3
NM_017533	MYH4	myosin, heavy chain 4, skeletal muscle	hs|17p13.1
NM_003227	TFR2	transferrin receptor 2	hs|7q22.1
NM_001008225	CNOT4	CCR4-NOT transcription complex, subunit 4	hs|7q33
NM_006215	SERPINA4	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4	hs|14q32.13
DQ516744			
NM_002467	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	hs|8q24.21
XM_001717549	LOC100130701	uncharacterized LOC100130701	hs|3q13.33
NM_001081	CUBN	cubilin (intrinsic factor-cobalamin receptor)	hs|10p13
NM_138957	MAPK1	mitogen-activated protein kinase 1	hs|22q11.21
NM_001013663	PTRHD1	peptidyl-tRNA hydrolase domain containing 1	hs|2p23.3
ENST00000334588	GPATCH4	G patch domain containing 4	hs|1q23.1
NR_002952	SNORA9	small nucleolar RNA, H/ACA box 9	hs|7p13
ENST00000369123			hs|6q16.3
NM_014980	STXBP5L	syntaxin binding protein 5-like	hs|3q13.33
TCONS_00005329	XLOC_002473		hs|2q33.3
NM_018401	STK32B	serine/threonine kinase 32B	hs|4p16.2
NM_033554	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	hs|6p21.32
NM_177559	CSNK2A1	casein kinase 2, alpha 1 polypeptide	hs|20p13
A_33_P3233229			hs|18q23
NM_014333	CADM1	cell adhesion molecule 1	hs|11q23.3
ENST00000446344			hs|16q24.2
NM_020345	NKIRAS1	NFKB inhibitor interacting Ras-like 1	hs|3p24.2
NM_012186	FOXE3	forkhead box E3	hs|1p33
NM_000304	PMP22	peripheral myelin protein 22	hs|17p12
NR_002229	RPL23AP32	ribosomal protein L23a pseudogene 32	hs|2p16.2
NM_001136195	TNPO2	transportin 2	hs|19p13.2
NR_038886	LOC100506385	uncharacterized LOC100506385	hs|21q22.12
ENST00000442783	XLOC_008779		hs|10p11.21
NM_178504	DNAH12	dynein, axonemal, heavy chain 12	hs|3p14.3
NM_015448	DPCD	deleted in primary ciliary dyskinesia homolog (mouse)	hs|10q24.32
DQ883652			
ENST00000457239	XLOC_l2_000462		hs|1q23.1
ENST00000423704	XLOC_001952	0	hs|2p25.3
NM_182833	GDPD4	glycerophosphodiester phosphodiesterase domain containing 4	hs|11q13.5
NM_001166012	ZSCAN30	zinc finger and SCAN domain containing 30	hs|18q12.2
AJ251642	LOC338653	uncharacterized LOC338653	hs|11p15.4
ENST00000447933	XLOC_l2_014077		hs|7q36.3
3xSLv1			
NM_024872	DOK3	docking protein 3	hs|5q35.3
DQ516731			
AL117431	LOC152286	uncharacterized LOC152286	hs|3p25.2
TCONS_00002622	XLOC_001264		hs|1q42.3
ENST00000395270	POM121	POM121 membrane glycoprotein	hs|7q11.23
TCONS_l2_00020647	XLOC_l2_010751		hs|4q22.1
EF011068			
ENST00000517343			hs|8q13.2
NM_001149	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	hs|10q21.2
NM_014280	DNAJC8	DnaJ (Hsp40) homolog, subfamily C, member 8	hs|1p35.3
TCONS_00023566	XLOC_011389		hs|15q26.3
ENST00000474561	XLOC_001337		hs|2p25.1
NM_024098	CCDC86	coiled-coil domain containing 86	hs|11q12.2
NM_002815	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	hs|17q11.2
A_33_P3287897			hs|6q22.31
BX111310	XLOC_010243		hs|12q24.32
NR_002924	TBC1D3P1-DHX40P1	TBC1D3P1-DHX40P1 readthrough (non-protein coding)	hs|17q23.1
NM_001005181	OR56B4	olfactory receptor, family 56, subfamily B, member 4	hs|11p15.4
NM_003385	VSNL1	visinin-like 1	hs|2p24.2
XR_109692	LOC100506021	uncharacterized LOC100506021	hs|21q22.3
NR_028272	NEAT1	nuclear paraspeckle assembly transcript 1 (non-protein coding)	hs|11q13.1
TCONS_l2_00025652	XLOC_l2_013277		hs|7p21.3
ENST00000428709	XLOC_l2_015195		hs|9p11.2
NM_020240	CDC42SE2	CDC42 small effector 2	hs|5q31.1
NM_002615	SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	hs|17p13.3
NM_001753	CAV1	caveolin 1, caveolae protein, 22kDa	hs|7q31.2
NM_006763	BTG2	BTG family, member 2	hs|1q32.1
TCONS_00014880	XLOC_006948		hs|8q24.3
NM_001655	ARCN1	archain 1	hs|11q23.3
TCONS_00020885	XLOC_010163		hs|12q22
ENST00000469991	ZNFX1	zinc finger, NFX1-type containing 1	hs|20q13.13
NR_024497	LOC399744	uncharacterized LOC399744	hs|10p11.1
TCONS_00018782	XLOC_008554		hs|10q23.31
NM_019850	NGEF	neuronal guanine nucleotide exchange factor	hs|2q37.1
NM_024419	PGS1	phosphatidylglycerophosphate synthase 1	hs|17q25.3
TCONS_00019741	XLOC_009535		hs|11q22.3
NM_015973	GAL	galanin prepropeptide	hs|11q13.3
NM_133263	PPARGC1B	peroxisome proliferator-activated receptor gamma, coactivator 1 beta	hs|5q32
DQ516784			
ENST00000486775	SIRPB2	signal-regulatory protein beta 2	hs|20p13
TCONS_00003883	XLOC_001684		hs|2q22.1
NR_037891	LOC100507391	uncharacterized LOC100507391	hs|3q29
A_33_P3216487			hs|11q23.1
NR_034008	LOC100498859	uncharacterized LOC100498859	hs|3q25.31
TCONS_00006866	XLOC_002675		hs|3p14.3
NM_007375	TARDBP	TAR DNA binding protein	hs|1p36.22
ENST00000510962	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	hs|5q35.3
ENST00000512693	XLOC_l2_012173		hs|5q21.3
E1A_r60_a97			
NM_181900	STARD5	StAR-related lipid transfer (START) domain containing 5	hs|15q25.1
ENST00000412063			hs|18q21.32
NM_005193	CDX4	caudal type homeobox 4	hs|Xq13.2
NM_004230	S1PR2	sphingosine-1-phosphate receptor 2	hs|19p13.2
NM_005095	ZMYM4	zinc finger, MYM-type 4	hs|1p34.3
NM_014773	KIAA0141	KIAA0141	hs|5q31.3
NM_174975	SEC14L3	SEC14-like 3 (S. cerevisiae)	hs|22q12.2
NR_027766	NUDT16P1	nudix (nucleoside diphosphate linked moiety X)-type motif 16 pseudogene 1	hs|3q22.1
XR_132602	LOC100652876	uncharacterized LOC100652876	hs|16p13.3
NM_006589	FAM189B	family with sequence similarity 189, member B	hs|1q22
TCONS_00029157	XLOC_014102		hs|21q22.3
ENST00000462382	XLOC_002941		hs|3q26.33
NM_001122607	RUNX1	runt-related transcription factor 1	hs|21q22.12
TCONS_00003719	XLOC_001508		hs|2p14
TCONS_00014861	XLOC_006929		hs|8q24.22
ENST00000414409	XLOC_006097		hs|7p12.1
NM_017922	PRPF39	PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae)	hs|14q21.2
ENST00000374186	DHDDS	dehydrodolichyl diphosphate synthase	hs|1p36.11
NR_033840	LINC00163	long intergenic non-protein coding RNA 163	hs|21q22.3
ENST00000417910	XLOC_008300		hs|Yq11.223
TCONS_00004578	XLOC_002488		hs|2q35
TCONS_00021866	XLOC_010463		hs|13q31.2
NR_038269	LOC100506844	uncharacterized LOC100506844	hs|12q14.1
THC2685534			hs|3q26.32
NM_182521	ZSWIM2	zinc finger, SWIM-type containing 2	hs|2q32.1
TCONS_00006199	XLOC_002795		hs|3q21.3
ENST00000482019	XLOC_002830		hs|3q22.2
NR_034128	LOC440900	uncharacterized LOC440900	hs|2q14.1
NR_026784	C6orf164	chromosome 6 open reading frame 164	hs|6q15
TCONS_00008289	XLOC_003735		hs|4q31.3
NM_001122607	RUNX1	runt-related transcription factor 1	hs|21q22.12
NR_024399	MGC23284	uncharacterized LOC197187	hs|16q24.3
NM_016643	ZNF771	zinc finger protein 771	hs|16p11.2
EF011062			
NM_020342	SLC39A10	solute carrier family 39 (zinc transporter), member 10	hs|2q32.3
DQ668365			
NM_031866	FZD8	frizzled family receptor 8	hs|10p11.21
NM_207332	ERICH1	glutamate-rich 1	hs|8p23.3
TCONS_l2_00017860	XLOC_l2_009448		hs|22q11.1
NM_004333	BRAF	v-raf murine sarcoma viral oncogene homolog B1	hs|7q34
NM_006217	SERPINI2	serpin peptidase inhibitor, clade I (pancpin), member 2	hs|3q26.1
ERCC-00062_278			
ENST00000401957	RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5	hs|7p15.3
TCONS_00004409	XLOC_002283		hs|2q14.1
THC2577892			hs|15q21.1
ENST00000429162	CASC4	cancer susceptibility candidate 4	hs|15q15.3
NM_016321	RHCG	Rh family, C glycoprotein	hs|15q26.1
NR_026640	MKRN7P	makorin ring finger protein 7, pseudogene	hs|20q13.12
NM_001711	BGN	biglycan	hs|Xq28
NM_004479	FUT7	fucosyltransferase 7 (alpha (1,3) fucosyltransferase)	hs|9q34.3
ENST00000440208	XLOC_l2_013554		hs|7q31.1
ENST00000309874	LOC100289090	uncharacterized protein LOC100289090	hs|15q15.1
TCONS_00004320	XLOC_002185		hs|2p12
NR_003210	SNORD114-17	small nucleolar RNA, C/D box 114-17	hs|14q32.31
NM_001025199	CHI3L2	chitinase 3-like 2	hs|1p13.3
ENST00000435793	XLOC_l2_001399		hs|1q43
NM_016529	ATP8A2	ATPase, aminophospholipid transporter, class I, type 8A, member 2	hs|13q12.13
NM_004931	CD8B	CD8b molecule	hs|2p11.2
NM_001007540	CDHR4	cadherin-related family member 4	hs|3p21.31
NM_178175	LHFPL1	lipoma HMGIC fusion partner-like 1	hs|Xq23
ENST00000457865	HIF3A	hypoxia inducible factor 3, alpha subunit	hs|19q13.32
NM_024941	C5orf44	chromosome 5 open reading frame 44	hs|5q12.3
ENST00000454178	XLOC_l2_002043		hs|10q23.1
NM_003192	TBCC	tubulin folding cofactor C	hs|6p21.1
A_33_P3238944			hs|7q34
NM_080870	DPCR1	diffuse panbronchiolitis critical region 1	hs|6p21.33
NM_001100829	TMEM170B	transmembrane protein 170B	hs|6p24.2
ENST00000321930			hs|17q25.3
NM_144992	VWA3B	von Willebrand factor A domain containing 3B	hs|2q11.2
NM_178527	SLC9A11	solute carrier family 9, member 11	hs|1q25.1
NM_001018104	FAHD1	fumarylacetoacetate hydrolase domain containing 1	hs|16p13.3
NM_032126	C1orf49	chromosome 1 open reading frame 49	hs|1q25.2
ENST00000326237			hs|3p25.3
NM_002570	PCSK6	proprotein convertase subtilisin/kexin type 6	hs|15q26.3
NM_183393	CADPS	Ca++-dependent secretion activator	hs|3p14.2
NM_001043229	METTL12	methyltransferase like 12	hs|11q12.3
NM_001745	CAMLG	calcium modulating ligand	hs|5q31.1
BC041821	XLOC_008539		hs|10q23.1
NM_172239	REXO1L1	REX1, RNA exonuclease 1 homolog (S. cerevisiae)-like 1	hs|8q21.2
NM_015720	PODXL2	podocalyxin-like 2	hs|3q21.3
NM_153746	ZDHHC14	zinc finger, DHHC-type containing 14	hs|6q25.3
TCONS_00012378	XLOC_005946		hs|6q27
NR_003491	MIAT	myocardial infarction associated transcript (non-protein coding)	hs|22q12.1
ENST00000421976	XLOC_001412		hs|2p23.1
XR_108500	LOC100507375	uncharacterized LOC100507375	hs|3q23
NM_012117	CBX5	chromobox homolog 5	hs|12q13.13
A_19_P00808923			hs|2q12.2
XR_109886	LOC100506890	uncharacterized LOC100506890	hs|2q13
NM_001137560	TMEM151B	transmembrane protein 151B	hs|6p21.1
TCONS_l2_00012563	XLOC_l2_006745		hs|19q13.2
ENST00000433377	XLOC_000841		hs|1p32.3
NM_152354	ZNF285	zinc finger protein 285	hs|19q13.31
CV572371			hs|17q23.2
BI056255			hs|1p35.1
NR_024182	C14orf48	chromosome 14 open reading frame 48	hs|14q32.12
ENST00000446799	XLOC_002049		hs|2p22.2
XR_132601	LOC441736	putative golgin subfamily A member 8I-like	hs|15q26.3
DQ516754			
ENST00000454942	XLOC_l2_004192		hs|14q22.1
NM_001038628	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	hs|3q26.1
ENST00000547168		0	hs|12q12
NM_002289	LALBA	lactalbumin, alpha-	hs|12q13.11
NM_001719	BMP7	bone morphogenetic protein 7	hs|20q13.31
TCONS_00028465	XLOC_013838		hs|20q13.33
EF011065			
NR_024193	HILS1	histone linker H1 domain, spermatid-specific 1	hs|17q21.33
XR_109418	LOC100506882	uncharacterized LOC100506882	hs|17q23.2
XM_003120259	LOC100131248	protein FAM27D1-like	hs|17p11.2
NM_205848	SYT6	synaptotagmin VI	hs|1p13.2
NM_002405	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	hs|22q13.1
ENST00000513551	XLOC_003962		hs|4q13.1
ENST00000505844	XLOC_004308		hs|5p15.1
ERCC-00028_121			
NM_007345	ZNF236	zinc finger protein 236	hs|18q23
NM_004957	FPGS	folylpolyglutamate synthase	hs|9q34.11
NR_040074	LOC100287225	uncharacterized LOC100287225	hs|18q21.2
A_33_P3308147			hs|5p13.1
NM_144969	ZDHHC15	zinc finger, DHHC-type containing 15	hs|Xq13.3
NM_170722	NLRX1	NLR family member X1	hs|11q23.3
NM_001805	CEBPE	CCAAT/enhancer binding protein (C/EBP), epsilon	hs|14q11.2
TCONS_00012085	XLOC_005613		hs|6p23
ENST00000521141	LOC100507139		hs|8p21.3
NM_001098507	ZNF207	zinc finger protein 207	hs|17q11.2
NM_001005470	OR4B1	olfactory receptor, family 4, subfamily B, member 1	hs|11p11.2
NM_006718	PLAGL1	pleiomorphic adenoma gene-like 1	hs|6q24.2
ENST00000511929	XLOC_007026		hs|8p21.3
AK124190			hs|7q22.1
NM_003742	ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	hs|2q31.1
NM_001015880	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	hs|10q23.31
NM_001144904	CLEC4M	C-type lectin domain family 4, member M	hs|19p13.2
A_33_P3410445			hs|15q13.1
AK294518	LOC100132987	uncharacterized LOC100132987	hs|10q22.3
BF515046			hs|4p14
NR_027072	LINC00189	long intergenic non-protein coding RNA 189	hs|21q21.3
NM_020796	SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	hs|5q23.1
ENST00000390298			hs|22q11.22
NM_020967	NCOA5	nuclear receptor coactivator 5	hs|20q13.12
NM_000714	TSPO	translocator protein (18kDa)	hs|22q13.2
NM_003770	KRT37	keratin 37	hs|17q21.2
THC2509656	Q39472		hs|3q13.12
A_33_P3216640			hs|8q24.21
NM_032389	ARFGAP2	ADP-ribosylation factor GTPase activating protein 2	hs|11p11.2
ENST00000397286	C20orf4	chromosome 20 open reading frame 4	hs|20q11.23
TCONS_00004245	XLOC_002085		hs|2p21
ENST00000413525	XLOC_l2_007585		hs|2q22.3
DQ516763			
TCONS_00023380	XLOC_011224		hs|15q15.1
NR_026863	LINC00313	long intergenic non-protein coding RNA 313	hs|21q22.3
TCONS_l2_00030324	XLOC_l2_015593		hs|Xq22.3
NM_014736	KIAA0101	KIAA0101	hs|15q22.31
NR_039986	LOC100505718		hs|8q13.2
NM_024663	NPEPL1	aminopeptidase-like 1	hs|20q13.32
DQ459427			
DQ883682			
NM_152697	SLC44A5	solute carrier family 44, member 5	hs|1p31.1
DQ668366			
NM_018131	CEP55	centrosomal protein 55kDa	hs|10q23.33
NM_175924	ILDR1	immunoglobulin-like domain containing receptor 1	hs|3q13.33
NM_207481	NCKAP5	NCK-associated protein 5	hs|2q21.2
ENST00000509244	Q952V6		hs|4p15.33
E1A_r60_n9			
TCONS_00012543	XLOC_005377		hs|6q15
A_33_P3404566			hs|9q33.1
NM_006224	PITPNA	phosphatidylinositol transfer protein, alpha	hs|17p13.3
NR_038200	M1	uncharacterized LOC100507027	hs|10q21.2
NM_022052	NXF3	nuclear RNA export factor 3	hs|Xq22.1
NM_004466	GPC5	glypican 5	hs|13q31.3
ENST00000281581			hs|14q23.1
ENST00000273009	DIS3L2	DIS3 mitotic control homolog (S. cerevisiae)-like 2	hs|2q37.1
NM_001144978	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like	hs|4q13.3
NM_147130	NCR3	natural cytotoxicity triggering receptor 3	hs|6p21.33
NM_001163922	VSIG10L	V-set and immunoglobulin domain containing 10 like	hs|19q13.41
ENST00000400546	NCAM2	neural cell adhesion molecule 2	hs|21q21.1
ENST00000429567			hs|9q21.11
NM_057749	CCNE2	cyclin E2	hs|8q22.1
NM_030920	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	hs|1q21.2
DQ839618			
NM_174912	FAAH2	fatty acid amide hydrolase 2	hs|Xp11.21
A_24_P255005			hs|17q24.2
NM_001010926	HES5	hairy and enhancer of split 5 (Drosophila)	hs|1p36.32
ERCC-00043_129			
NM_022776	OSBPL11	oxysterol binding protein-like 11	hs|3q21.2
XR_132891	FLJ20444	uncharacterized protein FLJ20444	hs|9q13
NM_133459	CCBE1	collagen and calcium binding EGF domains 1	hs|18q21.32
ENST00000299350	C12orf28	chromosome 12 open reading frame 28	hs|12q15
NM_024907	FBXO17	F-box protein 17	hs|19q13.2
ENST00000436605	XLOC_l2_007541		hs|2q14.3
ENST00000425624	XLOC_l2_000421		hs|1q21.2
NR_033972	LOC440028	uncharacterized LOC440028	hs|11p15.4
AK091672	LOC286161	uncharacterized LOC286161	hs|8p23.3
TCONS_00028459	XLOC_013832		hs|20q13.33
NR_038344	MAGI2-AS3	MAGI2 antisense RNA 3 (non-protein coding)	hs|7q21.11
NM_001014977	BANF2	barrier to autointegration factor 2	hs|20p12.1
XM_001715028	LOC391767	putative TAF11-like protein ENSP00000332601-like	hs|5p15.1
A_33_P3266022			hs|11q14.2
ENST00000378305			hs|2p16.3
NM_006087	TUBB4A	tubulin, beta 4A class IVa	hs|19p13.3
NM_001009812	LBX2	ladybird homeobox 2	hs|2p13.1
ENST00000505930	XLOC_003986		hs|4q13.3
ENST00000425031	XLOC_008276		hs|Yp11.31
ENST00000412381	XLOC_001999		hs|2p24.3
ENST00000415144	XLOC_005587		hs|6p25.2
THC2660327	XLOC_008102		hs|Xp22.33
NM_016508	CDKL3	cyclin-dependent kinase-like 3	hs|5q31.1
NM_033119	NKD1	naked cuticle homolog 1 (Drosophila)	hs|16q12.1
AK124497	LOC100128401	uncharacterized LOC100128401	hs|22q12.1
NM_138571	HINT3	histidine triad nucleotide binding protein 3	hs|6q22.32
XR_110375	LOC100288798	uncharacterized LOC100288798	hs|12q13.11
THC2552745	XLOC_l2_015641		hs|Xq28
TCONS_l2_00026979	XLOC_l2_014057		hs|7q36.1
NM_001242829	IP6K1	inositol hexakisphosphate kinase 1	hs|3p21.31
ENST00000502368			hs|4q22.1
NM_020745	AARS2	alanyl-tRNA synthetase 2, mitochondrial (putative)	hs|6p21.1
A_33_P3765291			hs|10q11.21
DQ883653			
NM_001033112	PAIP2	poly(A) binding protein interacting protein 2	hs|5q31.2
TCONS_00014152	XLOC_006124		hs|7q11.21
XR_108345	LOC100132909	uncharacterized LOC100132909	hs|1q21.2
DQ855000			
NM_145047	OSCP1	organic solute carrier partner 1	hs|1p34.3
NR_003612	FAM92A3	family with sequence similarity 92, member A3	hs|4q35.1
DQ883654			
NM_021137	TNFAIP1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	hs|17q11.2
NM_012435	SHC2	SHC (Src homology 2 domain containing) transforming protein 2	hs|19p13.3
NM_021192	HOXD11	homeobox D11	hs|2q31.1
NM_198479	TPRX1	tetra-peptide repeat homeobox 1	hs|19q13.33
NM_000553	WRN	Werner syndrome, RecQ helicase-like	hs|8p12
NM_001164617	GPC3	glypican 3	hs|Xq26.2
NM_002581	PAPPA	pregnancy-associated plasma protein A, pappalysin 1	hs|9q33.1
NM_001136486	TRIM64	tripartite motif containing 64	hs|11q14.3
NM_022371	TOR3A	torsin family 3, member A	hs|1q25.2
NM_152453	TMCO5A	transmembrane and coiled-coil domains 5A	hs|15q14
NM_001080824	C2orf89	chromosome 2 open reading frame 89	hs|2p11.2
NM_003079	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	hs|17q21.2
NM_001142285	RPS24	ribosomal protein S24	hs|10q22.3
NM_002715	PPP2CA	protein phosphatase 2, catalytic subunit, alpha isozyme	hs|5q31.1
TCONS_00015946	XLOC_007323		hs|9p13.3
NR_024007	SMCR5	Smith-Magenis syndrome chromosome region, candidate 5 (non-protein coding)	hs|17p11.2
TCONS_l2_00013007	XLOC_l2_006996		hs|19q12
NR_040017	LOC100507218	uncharacterized LOC100507218	hs|17q25.1
NM_182795	NPM2	nucleophosmin/nucleoplasmin 2	hs|8p21.3
NM_178507	OAF	OAF homolog (Drosophila)	hs|11q23.3
THC2592463	XLOC_007043		hs|8p12
NM_001216	CA9	carbonic anhydrase IX	hs|9p13.3
ENST00000390450			hs|14q11.2
TCONS_00001187	XLOC_000451		hs|1q24.1
ENST00000433572	XLOC_007554		hs|9q33.2
ENST00000510987	XLOC_004376		hs|5p12
NM_003194	TBP	TATA box binding protein	hs|6q27
ENST00000450677	XLOC_l2_001605		hs|10q21.2
NM_173681	ATG9B	ATG9 autophagy related 9 homolog B (S. cerevisiae)	hs|7q36.1
XR_132874	LOC100653033	uncharacterized LOC100653033	hs|6p21.33
TCONS_00009926	XLOC_004346		hs|5p13.1
NM_016098	BRP44L	brain protein 44-like	hs|6q27
NM_001171971	CDHR1	cadherin-related family member 1	hs|10q23.1
NM_080701	TREX2	three prime repair exonuclease 2	hs|Xq28
A_33_P3349158			hs|7q36.3
TCONS_00010079	XLOC_004536		hs|5q23.2
NM_001005354	PRR13	proline rich 13	hs|12q13.13
ENST00000454421	LOC100134256	ig heavy chain V-III region VH26-like	hs|14q32.33
A_33_P3310620			hs|16p11.2
NR_034031	LOC389906	zinc finger protein 839 pseudogene	hs|Xp22.33
ENST00000416995	XLOC_014212		hs|22q12.3
ENST00000418165			hs|2p24.1
A_33_P3292994			hs|17q25.1
TCONS_00008192	XLOC_003640		hs|4q25
NM_015041	CLUAP1	clusterin associated protein 1	hs|16p13.3
XR_109252	LOC100287598	uncharacterized LOC100287598	hs|16p13.2
NM_015415	BRP44	brain protein 44	hs|1q24.2
ENST00000450938	XLOC_007535		hs|9q33.1
NM_001100	ACTA1	actin, alpha 1, skeletal muscle	hs|1q42.13
NM_001010844	IRAK1BP1	interleukin-1 receptor-associated kinase 1 binding protein 1	hs|6q14.1
NM_003404	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	hs|20q13.12
NM_002859	PXN	paxillin	hs|12q24.23
ENST00000425405	XLOC_013665		hs|20p12.1
A_33_P3268395			hs|Xp22.33
EF011065			
XR_110179	LOC100507429	uncharacterized LOC100507429	hs|6q23.3
NM_020905	RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	hs|2p24.2
NM_003141	TRIM21	tripartite motif containing 21	hs|11p15.4
DQ883671			
NR_002809	LOC338799	uncharacterized LOC338799	hs|12q24.31
NM_032450	HEATR7A	HEAT repeat containing 7A	hs|8q24.3
NM_152862	ARPC2	actin related protein 2/3 complex, subunit 2, 34kDa	hs|2q35
DQ516776			
NM_021728	OTX2	orthodenticle homeobox 2	hs|14q22.3
NM_000506	F2	coagulation factor II (thrombin)	hs|11p11.2
ENST00000422971	XLOC_014399		hs|22q13.31
NM_002153	HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2	hs|16q23.3
NM_001039752	SLC22A10	solute carrier family 22, member 10	hs|11q12.3
NM_022103	ZNF667	zinc finger protein 667	hs|19q13.43
NR_027138	C11orf36	chromosome 11 open reading frame 36	hs|11p15.4
NM_024682	TBC1D17	TBC1 domain family, member 17	hs|19q13.33
NM_020447	C15orf17	chromosome 15 open reading frame 17	hs|15q24.1
THC2742326	XLOC_014172		hs|22q11.23
NM_032357	CCDC115	coiled-coil domain containing 115	hs|2q21.1
ENST00000453716	XLOC_013919		hs|21q22.11
ENST00000495375	FABP1	fatty acid binding protein 1, liver	hs|2p11.2
NM_014488	RAB30	RAB30, member RAS oncogene family	hs|11q14.1
NR_036486	FGF14-IT1	FGF14 intronic transcript 1 (non-protein coding)	hs|13q33.1
NR_026878	MGC12982	uncharacterized protein MGC12982	hs|1p33
NM_017757	ZNF407	zinc finger protein 407	hs|18q22.3
NM_006479	RAD51AP1	RAD51 associated protein 1	hs|12p13.32
NM_022764	MTHFSD	methenyltetrahydrofolate synthetase domain containing	hs|16q24.1
ENST00000503267	XLOC_004309		hs|5p15.1
